fotograma,tipo_objeto,confianza_objeto,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
10,bus,0.941,1,1383,92,1918,457,1,0.276,1770,398,1831,414,
10,car,0.805,2,1311,312,1386,368,0,0.0,-1,-1,-1,-1,
10,car,0.419,3,1229,315,1272,343,0,0.0,-1,-1,-1,-1,
10,car,0.258,4,1285,318,1319,345,0,0.0,-1,-1,-1,-1,
10,car,0.222,5,1272,316,1312,343,0,0.0,-1,-1,-1,-1,
11,bus,0.937,1,1382,96,1918,456,1,0.541,1757,397,1815,411,
11,car,0.802,2,1310,312,1385,367,0,0.0,-1,-1,-1,-1,
11,car,0.403,3,1228,315,1270,343,0,0.0,-1,-1,-1,-1,
11,car,0.26,4,1289,318,1319,346,0,0.0,-1,-1,-1,-1,
11,car,0.211,5,1271,316,1312,343,0,0.0,-1,-1,-1,-1,
12,bus,0.927,1,1382,97,1918,455,1,0.526,1746,396,1802,411,
12,car,0.782,2,1309,312,1384,368,0,0.0,-1,-1,-1,-1,
12,car,0.409,3,1228,315,1269,343,0,0.0,-1,-1,-1,-1,
12,car,0.274,4,1293,318,1319,347,0,0.0,-1,-1,-1,-1,
12,car,0.213,5,1269,316,1311,343,0,0.0,-1,-1,-1,-1,
13,bus,0.932,1,1382,101,1915,453,1,0.622,1734,394,1790,409,
13,car,0.788,2,1309,312,1382,368,0,0.0,-1,-1,-1,-1,
13,car,0.322,3,1228,315,1264,342,0,0.0,-1,-1,-1,-1,
13,car,0.251,4,1295,318,1320,348,0,0.0,-1,-1,-1,-1,
13,car,0.202,5,1267,315,1310,343,0,0.0,-1,-1,-1,-1,
14,bus,0.928,1,1381,104,1903,451,1,0.496,1724,393,1779,407,
14,car,0.795,2,1309,312,1380,368,0,0.0,-1,-1,-1,-1,
14,car,0.278,3,1227,315,1262,341,0,0.0,-1,-1,-1,-1,
14,car,0.262,4,1294,317,1320,348,0,0.0,-1,-1,-1,-1,
14,car,0.191,5,1266,315,1312,343,0,0.0,-1,-1,-1,-1,
15,bus,0.919,1,1380,107,1889,451,1,0.494,1714,393,1768,406,
15,car,0.778,2,1309,312,1378,368,0,0.0,-1,-1,-1,-1,
15,car,0.301,3,1227,315,1262,341,0,0.0,-1,-1,-1,-1,
15,car,0.227,4,1295,317,1320,346,0,0.0,-1,-1,-1,-1,
15,car,0.158,5,1267,314,1312,343,0,0.0,-1,-1,-1,-1,
16,bus,0.925,1,1378,111,1872,450,1,0.563,1704,391,1758,405,
16,car,0.775,2,1308,312,1375,367,0,0.0,-1,-1,-1,-1,
16,car,0.307,3,1227,315,1262,341,0,0.0,-1,-1,-1,-1,
16,car,0.257,4,1294,317,1320,346,0,0.0,-1,-1,-1,-1,
16,car,0.157,5,1268,313,1314,343,0,0.0,-1,-1,-1,-1,
17,bus,0.92,1,1376,114,1866,449,1,0.394,1694,390,1748,403,
17,car,0.782,2,1308,313,1374,367,0,0.0,-1,-1,-1,-1,
17,car,0.317,3,1226,315,1262,341,0,0.0,-1,-1,-1,-1,
17,car,0.176,5,1269,313,1314,343,0,0.0,-1,-1,-1,-1,
18,bus,0.909,1,1376,117,1858,450,1,0.589,1686,390,1738,404,
18,car,0.777,2,1308,313,1373,366,0,0.0,-1,-1,-1,-1,
18,car,0.271,3,1226,315,1262,341,0,0.0,-1,-1,-1,-1,
18,car,0.162,5,1269,313,1314,343,0,0.0,-1,-1,-1,-1,
19,bus,0.916,1,1375,121,1840,448,1,0.587,1675,388,1728,402,
19,car,0.769,2,1308,313,1372,367,0,0.0,-1,-1,-1,-1,
19,car,0.275,3,1227,316,1261,341,0,0.0,-1,-1,-1,-1,
19,car,0.144,5,1269,312,1313,343,0,0.0,-1,-1,-1,-1,
20,bus,0.925,1,1374,125,1826,446,1,0.524,1666,388,1718,402,
20,car,0.785,2,1308,314,1370,367,0,0.0,-1,-1,-1,-1,
20,car,0.312,3,1227,316,1261,341,0,0.0,-1,-1,-1,-1,
20,car,0.157,5,1270,313,1311,343,0,0.0,-1,-1,-1,-1,
21,bus,0.919,1,1372,127,1816,444,1,0.432,1659,386,1709,400,
21,car,0.754,2,1308,313,1369,368,0,0.0,-1,-1,-1,-1,
21,car,0.34,3,1227,317,1261,341,0,0.0,-1,-1,-1,-1,
21,car,0.173,5,1270,314,1311,344,0,0.0,-1,-1,-1,-1,
22,bus,0.919,1,1371,132,1809,442,1,0.532,1651,386,1700,400,
22,car,0.73,2,1308,313,1368,368,0,0.0,-1,-1,-1,-1,
22,car,0.365,3,1226,317,1261,341,0,0.0,-1,-1,-1,-1,
22,car,0.183,5,1269,314,1311,344,0,0.0,-1,-1,-1,-1,
23,bus,0.915,1,1369,135,1808,442,1,0.541,1643,386,1692,398,
23,car,0.741,2,1308,313,1366,367,0,0.0,-1,-1,-1,-1,
23,car,0.39,3,1225,316,1261,341,0,0.0,-1,-1,-1,-1,
23,car,0.188,5,1269,314,1308,343,0,0.0,-1,-1,-1,-1,
24,bus,0.905,1,1369,140,1804,440,1,0.52,1635,384,1683,398,
24,car,0.717,2,1308,313,1366,366,0,0.0,-1,-1,-1,-1,
24,car,0.408,3,1225,318,1261,341,0,0.0,-1,-1,-1,-1,
24,car,0.192,5,1269,314,1303,343,0,0.0,-1,-1,-1,-1,
25,bus,0.888,1,1368,141,1787,441,1,0.401,1628,384,1671,396,
25,car,0.704,2,1308,312,1366,366,0,0.0,-1,-1,-1,-1,
25,car,0.463,3,1225,318,1261,342,0,0.0,-1,-1,-1,-1,
25,car,0.163,5,1269,313,1307,343,0,0.0,-1,-1,-1,-1,
26,bus,0.905,1,1367,143,1771,441,1,0.493,1620,383,1667,397,
26,car,0.708,2,1308,312,1365,366,0,0.0,-1,-1,-1,-1,
26,car,0.443,3,1225,318,1261,342,0,0.0,-1,-1,-1,-1,
26,car,0.179,5,1268,312,1309,343,0,0.0,-1,-1,-1,-1,
27,bus,0.898,1,1366,145,1760,440,1,0.47,1615,382,1660,395,
27,car,0.687,2,1308,311,1365,366,0,0.0,-1,-1,-1,-1,
27,car,0.451,3,1224,318,1261,342,0,0.0,-1,-1,-1,-1,
27,car,0.19,5,1268,312,1308,343,0,0.0,-1,-1,-1,-1,
28,bus,0.899,1,1364,148,1745,437,1,0.596,1607,383,1654,395,
28,car,0.673,2,1308,310,1364,366,0,0.0,-1,-1,-1,-1,
28,car,0.432,3,1224,318,1261,342,0,0.0,-1,-1,-1,-1,
28,car,0.172,5,1266,312,1307,343,0,0.0,-1,-1,-1,-1,
29,bus,0.903,1,1363,150,1736,436,1,0.598,1601,382,1647,393,
29,car,0.65,2,1307,309,1364,365,0,0.0,-1,-1,-1,-1,
29,car,0.427,3,1224,317,1261,342,0,0.0,-1,-1,-1,-1,
29,car,0.147,5,1266,311,1307,343,0,0.0,-1,-1,-1,-1,
30,bus,0.896,1,1363,152,1731,437,1,0.434,1596,381,1640,393,
30,car,0.627,2,1307,308,1362,365,0,0.0,-1,-1,-1,-1,
30,car,0.401,3,1224,317,1261,342,0,0.0,-1,-1,-1,-1,
30,car,0.158,5,1264,311,1305,343,0,0.0,-1,-1,-1,-1,
31,bus,0.903,1,1361,153,1727,433,1,0.472,1589,380,1633,391,
31,car,0.62,2,1306,307,1359,364,0,0.0,-1,-1,-1,-1,
31,car,0.355,3,1225,317,1260,342,0,0.0,-1,-1,-1,-1,
31,car,0.138,5,1263,310,1304,343,0,0.0,-1,-1,-1,-1,
32,bus,0.891,1,1360,155,1726,430,1,0.28,1584,379,1627,390,
32,car,0.638,2,1305,308,1357,363,0,0.0,-1,-1,-1,-1,
32,car,0.292,3,1226,318,1260,341,0,0.0,-1,-1,-1,-1,
32,car,0.138,5,1262,310,1303,343,0,0.0,-1,-1,-1,-1,
33,bus,0.92,1,1360,158,1712,426,1,0.372,1577,376,1621,389,
33,car,0.643,2,1304,308,1356,363,0,0.0,-1,-1,-1,-1,
33,car,0.26,3,1226,317,1260,341,0,0.0,-1,-1,-1,-1,
33,car,0.12,5,1262,310,1302,343,0,0.0,-1,-1,-1,-1,
34,bus,0.926,1,1358,160,1701,426,1,0.488,1572,375,1615,387,
34,car,0.626,2,1303,308,1355,363,0,0.0,-1,-1,-1,-1,
34,car,0.282,3,1227,317,1260,341,0,0.0,-1,-1,-1,-1,
34,car,0.128,5,1262,310,1299,343,0,0.0,-1,-1,-1,-1,
35,bus,0.921,1,1355,161,1694,429,1,0.46,1566,376,1609,387,
35,car,0.617,2,1302,308,1354,363,0,0.0,-1,-1,-1,-1,
35,car,0.238,3,1227,318,1258,342,0,0.0,-1,-1,-1,-1,
35,car,0.125,5,1262,310,1295,343,0,0.0,-1,-1,-1,-1,
36,bus,0.912,1,1355,163,1691,429,1,0.363,1562,375,1602,386,
36,car,0.597,2,1302,309,1352,362,0,0.0,-1,-1,-1,-1,
36,car,0.333,3,1226,318,1258,342,0,0.0,-1,-1,-1,-1,
36,car,0.139,5,1260,310,1294,343,0,0.0,-1,-1,-1,-1,
37,bus,0.92,1,1355,166,1681,427,1,0.356,1556,375,1596,386,
37,car,0.601,2,1302,310,1351,362,0,0.0,-1,-1,-1,-1,
37,car,0.246,3,1226,319,1257,342,0,0.0,-1,-1,-1,-1,
37,car,0.13,5,1259,311,1293,343,0,0.0,-1,-1,-1,-1,
38,bus,0.919,1,1354,166,1674,425,0,0.0,-1,-1,-1,-1,
38,car,0.541,2,1302,311,1350,362,0,0.0,-1,-1,-1,-1,
38,car,0.114,3,1227,317,1257,343,0,0.0,-1,-1,-1,-1,
38,car,0.117,5,1259,311,1294,343,0,0.0,-1,-1,-1,-1,
39,bus,0.908,1,1352,168,1668,424,1,0.357,1545,372,1587,385,
39,car,0.485,2,1302,313,1348,362,0,0.0,-1,-1,-1,-1,
39,car,0.109,5,1259,311,1294,343,0,0.0,-1,-1,-1,-1,
40,bus,0.903,1,1351,167,1661,422,0,0.0,-1,-1,-1,-1,
40,car,0.475,2,1302,314,1347,361,0,0.0,-1,-1,-1,-1,
40,car,0.107,5,1259,311,1293,342,0,0.0,-1,-1,-1,-1,
41,bus,0.91,1,1349,169,1655,421,0,0.0,-1,-1,-1,-1,
41,car,0.449,2,1302,314,1347,362,0,0.0,-1,-1,-1,-1,
42,bus,0.925,1,1349,172,1649,417,1,0.503,1532,372,1570,383,
42,car,0.511,2,1303,315,1345,360,0,0.0,-1,-1,-1,-1,
43,bus,0.932,1,1346,175,1644,416,0,0.0,-1,-1,-1,-1,
43,car,0.462,2,1302,316,1344,360,0,0.0,-1,-1,-1,-1,
44,bus,0.929,1,1344,176,1637,415,1,0.381,1523,371,1560,382,
44,car,0.534,2,1302,316,1342,361,0,0.0,-1,-1,-1,-1,
45,bus,0.929,1,1343,178,1635,414,1,0.388,1519,371,1556,382,
45,car,0.421,2,1300,316,1341,361,0,0.0,-1,-1,-1,-1,
46,bus,0.92,1,1342,179,1630,412,1,0.375,1515,370,1551,381,
46,car,0.378,2,1300,315,1340,361,0,0.0,-1,-1,-1,-1,
47,bus,0.923,1,1341,181,1626,412,1,0.341,1511,370,1547,380,
47,car,0.376,2,1300,313,1340,359,0,0.0,-1,-1,-1,-1,
48,bus,0.917,1,1341,182,1623,413,1,0.28,1507,370,1543,380,
48,car,0.311,2,1300,313,1339,358,0,0.0,-1,-1,-1,-1,
49,bus,0.921,1,1340,184,1615,413,1,0.329,1504,370,1539,379,
49,car,0.282,2,1298,314,1338,357,0,0.0,-1,-1,-1,-1,
50,bus,0.916,1,1340,185,1612,412,1,0.342,1500,369,1535,379,
50,car,0.275,2,1297,315,1338,357,0,0.0,-1,-1,-1,-1,
51,bus,0.926,1,1340,188,1603,411,0,0.0,-1,-1,-1,-1,
51,car,0.296,2,1296,316,1338,359,0,0.0,-1,-1,-1,-1,
52,bus,0.939,1,1337,188,1598,411,0,0.0,-1,-1,-1,-1,
52,car,0.286,2,1295,318,1337,359,0,0.0,-1,-1,-1,-1,
53,bus,0.923,1,1336,189,1595,411,1,0.265,1489,367,1523,377,
53,car,0.278,2,1294,319,1337,361,0,0.0,-1,-1,-1,-1,
54,bus,0.922,1,1335,190,1591,411,1,0.327,1486,367,1520,377,
54,car,0.22,2,1293,318,1337,362,0,0.0,-1,-1,-1,-1,
55,bus,0.919,1,1334,191,1591,409,1,0.338,1482,366,1515,376,
55,car,0.194,2,1293,314,1336,363,0,0.0,-1,-1,-1,-1,
56,bus,0.901,1,1334,191,1584,409,0,0.0,-1,-1,-1,-1,
56,car,0.193,2,1293,313,1336,361,0,0.0,-1,-1,-1,-1,
57,bus,0.905,1,1334,192,1579,408,0,0.0,-1,-1,-1,-1,
57,car,0.165,2,1293,312,1336,359,0,0.0,-1,-1,-1,-1,
58,bus,0.91,1,1334,192,1575,407,0,0.0,-1,-1,-1,-1,
58,car,0.173,2,1292,312,1333,356,0,0.0,-1,-1,-1,-1,
59,bus,0.914,1,1333,193,1570,406,0,0.0,-1,-1,-1,-1,
59,car,0.193,2,1292,313,1331,355,0,0.0,-1,-1,-1,-1,
60,bus,0.905,1,1332,195,1567,404,0,0.0,-1,-1,-1,-1,
60,car,0.227,2,1290,314,1330,356,0,0.0,-1,-1,-1,-1,
61,bus,0.894,1,1333,195,1563,404,0,0.0,-1,-1,-1,-1,
61,car,0.23,2,1290,315,1329,356,0,0.0,-1,-1,-1,-1,
62,bus,0.909,1,1333,196,1561,404,0,0.0,-1,-1,-1,-1,
62,car,0.297,2,1289,318,1328,357,0,0.0,-1,-1,-1,-1,
63,bus,0.901,1,1333,198,1555,405,0,0.0,-1,-1,-1,-1,
63,car,0.38,2,1289,321,1329,358,0,0.0,-1,-1,-1,-1,
64,bus,0.881,1,1330,198,1551,405,0,0.0,-1,-1,-1,-1,
64,car,0.407,2,1289,321,1328,358,0,0.0,-1,-1,-1,-1,
65,bus,0.867,1,1328,198,1548,403,0,0.0,-1,-1,-1,-1,
65,car,0.434,2,1288,319,1327,358,0,0.0,-1,-1,-1,-1,
66,bus,0.844,1,1327,199,1543,401,0,0.0,-1,-1,-1,-1,
66,car,0.439,2,1288,319,1326,359,0,0.0,-1,-1,-1,-1,
67,bus,0.806,1,1326,200,1539,400,0,0.0,-1,-1,-1,-1,
67,car,0.48,2,1287,319,1326,360,0,0.0,-1,-1,-1,-1,
68,bus,0.764,1,1325,201,1536,397,0,0.0,-1,-1,-1,-1,
68,car,0.456,2,1287,319,1325,359,0,0.0,-1,-1,-1,-1,
69,bus,0.768,1,1324,202,1533,396,0,0.0,-1,-1,-1,-1,
69,car,0.467,2,1287,320,1325,359,0,0.0,-1,-1,-1,-1,
70,bus,0.743,1,1323,204,1530,395,0,0.0,-1,-1,-1,-1,
70,car,0.508,2,1286,320,1326,360,0,0.0,-1,-1,-1,-1,
71,bus,0.758,1,1324,205,1527,397,0,0.0,-1,-1,-1,-1,
71,car,0.441,2,1286,319,1326,358,0,0.0,-1,-1,-1,-1,
72,bus,0.76,1,1322,205,1524,396,0,0.0,-1,-1,-1,-1,
72,car,0.518,2,1286,319,1324,358,0,0.0,-1,-1,-1,-1,
73,bus,0.769,1,1320,208,1523,394,0,0.0,-1,-1,-1,-1,
73,car,0.603,2,1286,319,1323,358,0,0.0,-1,-1,-1,-1,
74,bus,0.785,1,1321,209,1520,393,0,0.0,-1,-1,-1,-1,
74,car,0.591,2,1286,320,1323,357,0,0.0,-1,-1,-1,-1,
75,bus,0.774,1,1320,210,1516,392,0,0.0,-1,-1,-1,-1,
75,car,0.586,2,1285,321,1322,356,0,0.0,-1,-1,-1,-1,
76,bus,0.782,1,1319,210,1513,392,0,0.0,-1,-1,-1,-1,
76,car,0.525,2,1285,321,1321,355,0,0.0,-1,-1,-1,-1,
77,bus,0.747,1,1319,211,1510,391,0,0.0,-1,-1,-1,-1,
77,car,0.509,2,1285,317,1320,355,0,0.0,-1,-1,-1,-1,
78,bus,0.682,1,1318,212,1507,391,0,0.0,-1,-1,-1,-1,
78,car,0.548,2,1285,316,1318,356,0,0.0,-1,-1,-1,-1,
79,bus,0.685,1,1318,212,1505,390,0,0.0,-1,-1,-1,-1,
79,car,0.508,2,1285,313,1318,356,0,0.0,-1,-1,-1,-1,
80,bus,0.611,1,1317,213,1503,390,0,0.0,-1,-1,-1,-1,
80,car,0.433,2,1284,311,1318,355,0,0.0,-1,-1,-1,-1,
81,bus,0.77,1,1316,214,1500,390,0,0.0,-1,-1,-1,-1,
81,car,0.4,2,1284,311,1318,356,0,0.0,-1,-1,-1,-1,
82,bus,0.792,1,1316,215,1499,389,0,0.0,-1,-1,-1,-1,
82,car,0.373,2,1284,312,1317,356,0,0.0,-1,-1,-1,-1,
83,bus,0.776,1,1316,215,1497,390,0,0.0,-1,-1,-1,-1,
83,car,0.363,2,1284,313,1316,356,0,0.0,-1,-1,-1,-1,
84,bus,0.775,1,1314,215,1495,389,0,0.0,-1,-1,-1,-1,
84,car,0.38,2,1283,313,1315,355,0,0.0,-1,-1,-1,-1,
85,bus,0.737,1,1314,215,1491,388,0,0.0,-1,-1,-1,-1,
85,car,0.306,2,1284,310,1315,354,0,0.0,-1,-1,-1,-1,
86,bus,0.707,1,1314,216,1489,388,0,0.0,-1,-1,-1,-1,
86,car,0.336,2,1284,308,1315,354,0,0.0,-1,-1,-1,-1,
87,bus,0.66,1,1316,216,1486,387,0,0.0,-1,-1,-1,-1,
87,car,0.246,2,1284,308,1314,354,0,0.0,-1,-1,-1,-1,
88,bus,0.509,1,1316,216,1485,386,0,0.0,-1,-1,-1,-1,
88,car,0.233,2,1283,308,1314,353,0,0.0,-1,-1,-1,-1,
88,truck,0.504,42,1316,216,1485,387,0,0.0,-1,-1,-1,-1,
89,truck,0.398,1,1315,216,1481,386,0,0.0,-1,-1,-1,-1,
89,car,0.314,2,1284,308,1314,352,0,0.0,-1,-1,-1,-1,
89,bus,0.574,42,1315,216,1482,387,0,0.0,-1,-1,-1,-1,
89,car,0.366,43,1463,318,1515,379,0,0.0,-1,-1,-1,-1,
90,truck,0.356,1,1314,217,1480,384,0,0.0,-1,-1,-1,-1,
90,car,0.343,2,1283,306,1314,351,0,0.0,-1,-1,-1,-1,
90,bus,0.618,42,1314,217,1481,385,0,0.0,-1,-1,-1,-1,
90,car,0.295,43,1463,319,1516,380,0,0.0,-1,-1,-1,-1,
91,car,0.303,2,1282,307,1313,352,0,0.0,-1,-1,-1,-1,
91,car,0.455,43,1458,318,1516,381,0,0.0,-1,-1,-1,-1,
92,car,0.293,2,1280,310,1313,354,0,0.0,-1,-1,-1,-1,
92,car,0.446,43,1459,317,1515,379,0,0.0,-1,-1,-1,-1,
92,bus,0.467,1,1313,219,1477,383,0,0.0,-1,-1,-1,-1,
93,car,0.276,2,1280,311,1312,354,0,0.0,-1,-1,-1,-1,
93,car,0.559,43,1456,319,1515,379,0,0.0,-1,-1,-1,-1,
93,truck,0.315,44,1314,220,1474,382,0,0.0,-1,-1,-1,-1,
93,bus,0.686,1,1314,220,1475,382,0,0.0,-1,-1,-1,-1,
94,car,0.24,2,1280,311,1312,353,0,0.0,-1,-1,-1,-1,
94,car,0.524,43,1454,319,1514,379,0,0.0,-1,-1,-1,-1,
94,truck,0.362,44,1313,221,1470,382,0,0.0,-1,-1,-1,-1,
94,bus,0.52,1,1312,220,1472,382,0,0.0,-1,-1,-1,-1,
95,car,0.292,2,1278,308,1312,352,0,0.0,-1,-1,-1,-1,
95,car,0.586,43,1453,319,1514,379,0,0.0,-1,-1,-1,-1,
95,truck,0.451,44,1312,222,1468,382,0,0.0,-1,-1,-1,-1,
95,bus,0.33,1,1311,222,1470,381,0,0.0,-1,-1,-1,-1,
95,person,0.61,46,0,249,41,478,0,0.0,-1,-1,-1,-1,
95,person,0.467,48,0,248,27,482,0,0.0,-1,-1,-1,-1,
96,car,0.256,2,1277,306,1312,352,0,0.0,-1,-1,-1,-1,
96,car,0.615,43,1451,319,1513,379,0,0.0,-1,-1,-1,-1,
96,bus,0.521,44,1312,223,1466,382,0,0.0,-1,-1,-1,-1,
96,truck,0.408,1,1312,222,1466,382,0,0.0,-1,-1,-1,-1,
96,person,0.759,46,0,237,53,486,0,0.0,-1,-1,-1,-1,
96,person,0.205,48,0,239,35,494,0,0.0,-1,-1,-1,-1,
97,car,0.105,2,1277,302,1311,351,0,0.0,-1,-1,-1,-1,
97,car,0.725,43,1449,319,1513,381,0,0.0,-1,-1,-1,-1,
97,truck,0.257,44,1310,223,1464,382,0,0.0,-1,-1,-1,-1,
97,bus,0.703,1,1311,223,1464,381,0,0.0,-1,-1,-1,-1,
97,person,0.793,46,0,234,60,488,0,0.0,-1,-1,-1,-1,
98,car,0.122,2,1276,300,1311,350,0,0.0,-1,-1,-1,-1,
98,car,0.71,43,1449,320,1514,381,0,0.0,-1,-1,-1,-1,
98,truck,0.229,44,1310,223,1463,382,0,0.0,-1,-1,-1,-1,
98,bus,0.754,1,1310,224,1463,380,0,0.0,-1,-1,-1,-1,
98,person,0.834,46,0,231,68,490,0,0.0,-1,-1,-1,-1,
99,car,0.116,2,1276,300,1311,348,0,0.0,-1,-1,-1,-1,
99,car,0.72,43,1446,320,1514,381,0,0.0,-1,-1,-1,-1,
99,truck,0.261,44,1309,224,1462,381,0,0.0,-1,-1,-1,-1,
99,bus,0.727,1,1310,225,1462,380,0,0.0,-1,-1,-1,-1,
99,person,0.824,46,0,232,73,491,0,0.0,-1,-1,-1,-1,
100,car,0.128,2,1277,299,1311,347,0,0.0,-1,-1,-1,-1,
100,car,0.712,43,1443,320,1514,381,0,0.0,-1,-1,-1,-1,
100,truck,0.184,44,1308,225,1462,381,0,0.0,-1,-1,-1,-1,
100,bus,0.783,1,1309,226,1460,380,0,0.0,-1,-1,-1,-1,
100,person,0.825,46,0,235,77,492,0,0.0,-1,-1,-1,-1,
101,car,0.672,43,1438,320,1516,381,0,0.0,-1,-1,-1,-1,
101,bus,0.809,1,1308,226,1459,379,0,0.0,-1,-1,-1,-1,
101,person,0.834,46,0,234,78,494,0,0.0,-1,-1,-1,-1,
102,car,0.698,43,1436,320,1516,381,0,0.0,-1,-1,-1,-1,
102,bus,0.702,1,1308,227,1458,379,0,0.0,-1,-1,-1,-1,
102,person,0.863,46,0,233,79,497,0,0.0,-1,-1,-1,-1,
103,car,0.696,43,1435,320,1517,382,0,0.0,-1,-1,-1,-1,
103,bus,0.783,1,1308,228,1457,378,0,0.0,-1,-1,-1,-1,
103,person,0.851,46,0,231,83,495,0,0.0,-1,-1,-1,-1,
104,car,0.717,43,1435,320,1518,382,0,0.0,-1,-1,-1,-1,
104,bus,0.765,1,1309,229,1456,379,0,0.0,-1,-1,-1,-1,
104,person,0.882,46,0,230,90,495,0,0.0,-1,-1,-1,-1,
105,car,0.726,43,1435,320,1518,382,0,0.0,-1,-1,-1,-1,
105,bus,0.622,1,1309,229,1456,379,0,0.0,-1,-1,-1,-1,
105,person,0.832,46,2,232,97,492,0,0.0,-1,-1,-1,-1,
106,car,0.728,43,1435,320,1519,382,0,0.0,-1,-1,-1,-1,
106,bus,0.772,1,1308,229,1453,379,0,0.0,-1,-1,-1,-1,
106,person,0.858,46,9,230,105,492,0,0.0,-1,-1,-1,-1,
107,car,0.736,43,1434,320,1519,382,0,0.0,-1,-1,-1,-1,
107,bus,0.751,1,1308,230,1450,379,0,0.0,-1,-1,-1,-1,
107,person,0.877,46,19,228,114,492,0,0.0,-1,-1,-1,-1,
108,car,0.731,43,1433,320,1519,381,0,0.0,-1,-1,-1,-1,
108,bus,0.659,1,1308,232,1446,378,0,0.0,-1,-1,-1,-1,
108,person,0.875,46,26,228,131,492,0,0.0,-1,-1,-1,-1,
108,car,0.407,54,1263,312,1298,347,0,0.0,-1,-1,-1,-1,
109,car,0.731,43,1433,320,1519,381,0,0.0,-1,-1,-1,-1,
109,bus,0.655,1,1307,232,1445,378,0,0.0,-1,-1,-1,-1,
109,person,0.85,46,30,229,147,491,0,0.0,-1,-1,-1,-1,
109,car,0.427,54,1262,313,1299,348,0,0.0,-1,-1,-1,-1,
110,car,0.744,43,1431,320,1518,381,0,0.0,-1,-1,-1,-1,
